seed,ep,eps,reached,collided,min_clr,time_s
7,44,0.01,1,0,1.471,3.9
7,45,0.01,1,0,1.189,4.8
7,46,0.01,1,0,2.226,4.2
7,47,0.01,1,0,1.568,4.5
7,48,0.01,1,0,1.373,5.1
7,49,0.01,1,0,1.293,5.1
8,0,0.01,1,0,1.563,4.2
8,1,0.01,1,0,1.134,5.1
8,2,0.01,1,0,1.608,3.9
8,3,0.01,1,0,1.315,5.1
8,4,0.01,1,0,1.612,3.9
8,5,0.01,1,0,1.343,5.1
8,6,0.01,1,0,1.237,5.1
8,7,0.01,1,0,1.355,4.8
8,8,0.01,1,0,1.113,5.4
8,9,0.01,1,0,2.061,3.9
8,10,0.01,1,0,1.754,3.9
8,11,0.01,1,0,1.394,4.8
8,12,0.01,1,0,1.861,4.2
8,13,0.01,1,0,1.526,4.8
8,14,0.01,1,0,1.805,3.9
8,15,0.01,1,0,2.086,4.8
8,16,0.01,1,0,1.1,4.8
8,17,0.01,1,0,1.799,5.4
8,18,0.01,1,0,1.354,5.1
8,19,0.01,1,0,1.408,5.1
8,20,0.01,1,0,1.317,5.1
8,21,0.01,1,0,1.913,5.1
8,22,0.01,1,0,1.68,5.1
8,23,0.01,1,0,1.758,4.5
8,24,0.01,1,0,1.833,3.9
8,25,0.01,1,0,2.04,5.1
8,26,0.01,1,0,1.69,4.5
8,27,0.01,1,0,1.772,4.2
8,28,0.01,1,0,1.25,4.8
8,29,0.01,1,0,1.452,5.1
8,30,0.01,1,0,1.585,4.2
8,31,0.01,1,0,1.27,6.0
8,32,0.01,1,0,1.356,4.8
8,33,0.01,1,0,1.37,5.7
8,34,0.01,1,0,2.171,5.4
8,35,0.01,1,0,1.546,4.5
8,36,0.01,1,0,1.819,3.9
8,37,0.01,1,0,2.126,4.8
8,38,0.01,1,0,1.718,3.9
8,39,0.01,1,0,1.465,4.5
8,40,0.01,1,0,1.276,4.2
8,41,0.01,1,0,1.518,6.3
8,42,0.01,1,0,1.085,5.1
8,43,0.01,1,0,1.63,4.5
8,44,0.01,1,0,1.524,3.9
8,45,0.01,1,0,1.316,4.8
8,46,0.01,1,0,1.558,4.5
8,47,0.01,1,0,1.717,4.2
9,0,0.01,1,0,1.859,4.2
9,1,0.01,1,0,1.431,4.8
9,2,0.01,1,0,1.423,5.1
9,3,0.01,1,0,1.533,4.5
9,4,0.01,1,0,1.876,3.9
9,5,0.01,1,0,1.699,4.2
9,6,0.01,1,0,1.231,4.5
9,7,0.01,1,0,1.747,5.1
9,8,0.01,1,0,1.558,3.9
9,9,0.01,1,0,1.779,4.8
9,10,0.01,1,0,1.41,5.7
9,11,0.01,1,0,1.969,3.9
9,12,0.01,1,0,1.575,5.4
9,13,0.01,1,0,1.283,5.1
9,14,0.01,1,0,1.434,4.8
9,15,0.01,1,0,1.894,5.1
9,16,0.01,1,0,1.438,5.4
9,17,0.01,1,0,1.81,4.5
9,18,0.01,1,0,1.494,3.9
9,19,0.01,1,0,1.805,4.2
9,20,0.01,1,0,1.165,4.8
9,21,0.01,1,0,1.425,5.1
9,22,0.01,1,0,1.179,6.3
9,23,0.01,1,0,1.333,6.9
9,24,0.01,1,0,1.844,4.2
9,25,0.01,1,0,1.589,3.9
9,26,0.01,1,0,1.577,5.1
9,27,0.01,1,0,1.64,4.2
9,28,0.01,1,0,1.519,3.9
9,29,0.01,1,0,1.194,5.1
9,30,0.01,1,0,1.66,3.9
9,31,0.01,1,0,1.096,5.4
9,32,0.01,1,0,1.742,4.2
9,33,0.01,1,0,1.235,5.1
9,34,0.01,1,0,4.423,3.6
9,35,0.01,1,0,1.56,4.8
9,36,0.01,1,0,1.576,4.5
9,37,0.01,1,0,1.072,5.1
9,38,0.01,1,0,1.362,4.5
9,39,0.01,1,0,1.715,3.9
9,40,0.01,1,0,1.794,3.9
9,41,0.01,1,0,1.557,3.9
9,42,0.01,1,0,1.607,4.8
9,43,0.01,1,0,1.705,5.4
9,44,0.01,1,0,1.545,4.5
9,45,0.01,1,0,1.468,4.8
9,46,0.01,1,0,1.261,5.1
9,47,0.01,1,0,1.274,3.9
9,48,0.01,1,0,1.302,4.8
9,49,0.01,1,0,1.505,4.5
10,0,0.01,1,0,1.874,4.5
10,1,0.01,1,0,1.465,4.8
10,2,0.01,1,0,1.492,3.9
10,3,0.01,1,0,1.548,5.4
10,4,0.01,1,0,1.616,3.9
10,5,0.01,1,0,2.098,4.8
10,6,0.01,1,0,1.469,4.2
10,7,0.01,1,0,1.526,3.9
10,8,0.01,1,0,1.435,3.9
10,9,0.01,1,0,1.506,3.9
10,10,0.01,1,0,1.197,5.1
10,11,0.01,1,0,1.607,4.5
10,12,0.01,1,0,1.784,3.9
10,13,0.01,1,0,1.548,3.9
10,14,0.01,1,0,1.57,4.5
10,15,0.01,1,0,1.48,5.1
10,16,0.01,1,0,1.697,3.9
10,17,0.01,1,0,1.418,4.5
10,18,0.01,1,0,1.236,4.2
10,19,0.01,1,0,1.61,4.8
10,20,0.01,1,0,2.224,4.5
10,21,0.01,1,0,1.306,5.4
10,22,0.01,1,0,1.526,4.5
10,23,0.01,1,0,1.072,6.9
10,24,0.01,1,0,1.836,4.2
10,25,0.01,1,0,1.785,3.9
10,26,0.01,1,0,1.465,4.8
10,27,0.01,1,0,1.207,5.4
10,28,0.01,1,0,1.556,3.9
10,29,0.01,1,0,1.548,5.1
10,30,0.01,1,0,1.652,5.1
10,31,0.01,1,0,1.127,5.1
10,32,0.01,1,0,1.748,3.9
10,33,0.01,1,0,1.442,4.5
10,34,0.01,1,0,1.518,5.7
10,35,0.01,1,0,1.732,6.6
10,36,0.01,1,0,1.695,3.9
10,37,0.01,1,0,1.652,4.5
10,38,0.01,1,0,1.411,4.8
10,39,0.01,1,0,1.097,5.1
10,40,0.01,1,0,1.339,5.1
10,41,0.01,1,0,1.38,5.1
10,42,0.01,1,0,2.2,4.8
10,43,0.01,1,0,1.104,5.1
10,44,0.01,1,0,1.637,4.2
10,45,0.01,1,0,1.69,3.9
10,46,0.01,1,0,1.391,4.2
10,47,0.01,1,0,1.115,5.1
10,48,0.01,1,0,1.584,4.5
10,49,0.01,1,0,1.895,3.9
11,0,0.01,1,0,2.477,5.1
11,1,0.01,1,0,1.772,3.9
11,2,0.01,1,0,2.212,4.5
11,3,0.01,1,0,1.809,4.2
11,4,0.01,1,0,2.043,6.9
11,5,0.01,1,0,1.76,4.2
11,6,0.01,1,0,1.67,5.1
11,7,0.01,1,0,1.468,5.1
11,8,0.01,1,0,2.068,5.1
11,9,0.01,1,0,1.459,4.5
11,10,0.01,1,0,1.723,5.4
11,11,0.01,1,0,1.439,3.9
11,12,0.01,1,0,1.299,4.8
11,13,0.01,1,0,1.649,3.9
11,14,0.01,1,0,1.447,3.9
11,15,0.01,1,0,1.814,4.2
11,16,0.01,1,0,1.548,4.5
11,17,0.01,1,0,2.258,4.8
11,18,0.01,1,0,1.562,5.1
11,19,0.01,1,0,1.881,3.9
11,20,0.01,1,0,1.803,5.1
11,21,0.01,1,0,1.853,4.8
11,22,0.01,1,0,1.71,3.9
11,23,0.01,1,0,2.031,3.9
11,24,0.01,1,0,2.462,5.7
11,25,0.01,1,0,1.519,6.6
11,26,0.01,1,0,1.514,4.8
11,27,0.01,1,0,1.556,4.5
11,28,0.01,1,0,1.476,3.9
11,29,0.01,1,0,1.698,4.2
11,30,0.01,1,0,1.429,5.1
11,31,0.01,1,0,1.385,4.5
11,32,0.01,1,0,2.051,4.8
11,33,0.01,1,0,1.315,7.2
11,34,0.01,1,0,1.915,3.9
11,35,0.01,1,0,1.619,3.9
11,36,0.01,1,0,1.218,5.4
11,37,0.01,1,0,1.869,3.9
11,38,0.01,1,0,1.418,5.1
11,39,0.01,1,0,1.802,3.9
11,40,0.01,1,0,1.083,4.8
11,41,0.01,1,0,1.969,4.2
11,42,0.01,1,0,1.342,5.1
11,43,0.01,1,0,2.123,5.1
11,44,0.01,1,0,1.601,3.9
11,45,0.01,1,0,1.341,4.8
11,46,0.01,1,0,1.251,6.0
11,47,0.01,1,0,1.24,5.4
11,48,0.01,1,0,1.546,3.9
11,49,0.01,1,0,0.926,6.0
12,0,0.01,1,0,1.67,6.0
12,1,0.01,1,0,1.571,5.1
12,2,0.01,1,0,1.291,6.0
12,3,0.01,1,0,1.421,5.1
12,4,0.01,1,0,1.082,5.1
12,5,0.01,1,0,1.512,4.2
12,6,0.01,1,0,1.367,4.5
12,7,0.01,1,0,1.095,5.1
12,8,0.01,1,0,1.116,5.1
12,9,0.01,1,0,1.82,5.1
12,10,0.01,1,0,1.416,4.2
12,11,0.01,1,0,1.852,3.9
12,12,0.01,1,0,1.328,5.1
12,13,0.01,1,0,1.517,4.2
12,14,0.01,1,0,2.025,4.2
12,15,0.01,1,0,1.806,3.9
12,16,0.01,1,0,1.67,4.5
