seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
74,ours,True,False,False,False,False,False,0.524,1.450,17.060,1.110,0.520,0,8.0
75,ego,False,True,False,False,False,True,-0.603,0.330,1.410,0.580,-0.600,0,infs
75,ours,False,True,False,False,False,True,-0.030,0.900,1.590,1.820,-0.030,0,infs
76,ego,False,True,False,False,True,False,-0.023,0.960,3.590,-0.020,0.110,0,infs
76,ours,True,False,False,False,False,False,0.254,0.960,3.590,1.220,0.250,0,8.9
77,ego,True,False,False,False,False,False,0.108,1.960,,0.610,0.110,0,8.5
77,ours,True,False,False,False,False,False,0.108,1.960,,1.040,0.110,0,8.6
78,ego,True,False,False,False,False,False,0.089,2.530,0.090,0.160,0.550,0,8.1
78,ours,True,False,False,False,False,False,0.091,2.530,0.090,1.940,0.370,0,8.4
79,ego,True,False,False,False,False,False,0.437,0.760,14.960,0.440,0.560,0,9.4
79,ours,True,False,False,False,False,False,0.695,0.980,14.960,3.140,0.690,0,10.3
80,ego,True,False,False,False,False,False,0.348,0.440,1.120,0.570,0.350,0,9.8
80,ours,True,False,False,False,False,False,0.113,1.940,0.110,1.210,0.510,0,10.7
81,ego,False,True,False,False,False,True,-0.144,0.640,,22.900,-0.140,0,infs
81,ours,True,False,False,False,False,False,0.250,1.210,,2.210,0.250,0,9.3
82,ego,True,False,False,False,False,False,0.531,0.730,5.530,1.050,0.530,0,9.5
82,ours,True,False,False,False,False,False,0.574,1.260,5.870,1.450,0.570,0,9.5
83,ego,True,False,False,False,False,False,0.101,0.100,,0.200,0.440,0,8.5
83,ours,False,True,False,False,False,True,-0.163,1.080,,6.400,-0.160,0,infs
84,ego,True,False,False,False,False,False,0.055,0.050,,1.720,1.050,0,9.7
84,ours,True,False,False,False,False,False,0.244,1.050,,1.530,0.240,0,10.3
85,ego,True,False,False,False,False,False,0.567,0.810,14.510,0.700,0.570,0,9.4
85,ours,True,False,False,False,False,False,0.611,0.810,14.920,1.500,0.610,0,9.3
86,ego,False,True,False,False,False,True,-0.486,0.210,14.370,0.620,-0.490,0,infs
86,ours,True,False,False,False,False,False,0.081,1.010,7.600,1.520,0.080,0,10.8
87,ego,True,False,False,False,False,False,0.400,0.570,,0.400,1.820,0,8.4
87,ours,True,False,False,False,False,False,0.741,0.980,,1.400,0.740,0,8.7
88,ego,True,False,False,False,False,False,0.323,0.450,,0.320,1.350,0,9.2
88,ours,True,False,False,False,False,False,1.553,1.550,,2.010,1.650,0,11.4
89,ego,True,False,False,False,False,False,0.515,0.520,,2.510,0.620,0,9.0
89,ours,True,False,False,False,False,False,1.059,1.310,,3.110,1.060,0,9.0
90,ego,False,True,False,False,False,True,-0.038,0.910,,15.490,-0.040,0,infs
90,ours,NA,NA,False,False,False,False,NA,,,,,6236,NA
91,ego,True,False,False,False,False,False,0.313,0.310,11.600,1.560,0.420,0,9.3
91,ours,True,False,False,False,False,False,0.618,1.030,6.950,5.610,0.620,0,9.8
92,ego,True,False,False,False,False,False,0.214,0.210,5.930,0.720,3.140,0,7.4
92,ours,True,False,False,False,False,False,1.035,1.040,6.830,1.510,2.840,0,8.0
93,ego,False,True,False,False,False,True,-0.111,0.300,,5.570,-0.110,0,infs
93,ours,True,False,False,False,False,False,0.308,1.130,14.840,7.310,0.310,0,9.1
94,ego,True,False,False,False,False,False,0.252,0.250,7.980,0.300,0.550,0,9.7
94,ours,True,False,False,False,False,False,0.302,1.380,7.980,1.590,0.300,0,10.4
95,ego,True,False,False,False,False,False,0.395,1.140,9.940,4.940,0.400,0,9.4
95,ours,True,False,False,False,False,False,0.740,0.970,5.110,1.320,0.740,0,10.2
96,ego,True,False,False,False,False,False,0.283,0.430,,0.840,0.280,0,8.7
96,ours,True,False,False,False,False,False,0.627,1.560,,2.300,0.630,0,9.9
97,ego,True,False,False,False,False,False,0.193,0.190,11.960,1.070,0.480,0,8.3
97,ours,True,False,False,False,False,False,0.447,1.150,6.330,1.360,0.450,0,8.3
98,ego,True,False,False,False,False,False,0.367,0.830,,1.020,0.370,0,9.6
98,ours,True,False,False,False,False,False,0.609,1.330,,2.220,0.610,0,11.1
99,ego,True,False,False,False,False,False,0.358,0.570,1.170,0.360,0.380,0,9.0
99,ours,True,False,False,False,False,False,0.226,1.720,1.440,2.080,0.230,0,10.0
