seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
80,ours,False,True,False,False,False,False,True,-0.024,2.470,3.640,2.710,-0.020,0,infs
81,ego,False,True,False,False,False,False,True,-0.144,0.640,,22.900,-0.140,0,infs
81,ours,True,False,False,False,False,False,False,0.203,1.700,,2.760,0.200,0,9.8
82,ego,True,False,False,False,False,False,False,0.531,0.730,5.530,1.050,0.530,0,9.5
82,ours,True,False,False,False,False,False,False,0.535,1.710,6.410,1.110,0.530,0,10.1
83,ego,True,False,False,False,False,False,False,0.101,0.100,,0.200,0.440,0,8.5
83,ours,False,True,False,False,False,False,True,-0.132,1.320,,7.020,-0.130,0,infs
84,ego,True,False,False,False,False,False,False,0.055,0.050,,1.720,1.050,0,9.7
84,ours,True,False,False,False,False,False,False,0.193,1.530,,2.570,0.190,0,10.5
85,ego,True,False,False,False,False,False,False,0.567,0.810,14.510,0.700,0.570,0,9.4
85,ours,True,False,False,False,False,False,False,0.532,0.640,14.780,2.630,0.530,0,10.5
86,ego,False,True,False,False,False,False,True,-0.486,0.210,14.370,0.620,-0.490,0,infs
86,ours,True,False,False,False,False,False,False,0.002,1.730,10.620,4.300,0.000,0,13.0
87,ego,True,False,False,False,False,False,False,0.400,0.570,,0.400,1.820,0,8.4
87,ours,True,False,False,False,False,False,False,0.599,1.210,,3.120,0.600,0,9.3
88,ego,True,False,False,False,False,False,False,0.323,0.450,,0.320,1.350,0,9.2
88,ours,True,False,False,False,False,False,False,1.144,1.140,,1.950,1.650,0,12.4
89,ego,True,False,False,False,False,False,False,0.515,0.520,,2.510,0.620,0,9.0
89,ours,True,False,False,False,False,False,False,1.577,1.580,,3.700,1.610,0,9.0
90,ego,False,True,False,False,False,False,True,-0.038,0.910,,15.490,-0.040,0,infs
90,ours,True,False,False,False,False,False,False,0.449,1.510,,2.070,0.450,0,9.2
91,ego,True,False,False,False,False,False,False,0.313,0.310,11.600,1.560,0.420,0,9.3
91,ours,True,False,False,False,False,False,False,0.130,1.470,6.990,2.710,0.130,0,9.5
92,ego,True,False,False,False,False,False,False,0.214,0.210,5.930,0.720,3.140,0,7.4
92,ours,True,False,False,False,False,False,False,1.262,1.260,7.720,1.670,3.000,0,9.1
93,ego,False,True,False,False,False,False,True,-0.111,0.300,,5.570,-0.110,0,infs
93,ours,True,False,False,False,False,False,False,0.219,1.470,9.660,7.200,0.220,0,9.9
94,ego,True,False,False,False,False,False,False,0.252,0.250,7.980,0.300,0.550,0,9.7
94,ours,True,False,False,False,False,False,False,0.515,2.130,7.980,2.030,0.520,0,9.9
95,ego,True,False,False,False,False,False,False,0.395,1.140,9.940,4.940,0.400,0,9.4
95,ours,True,False,False,False,False,False,False,0.284,1.290,9.580,3.940,0.280,0,9.2
96,ego,True,False,False,False,False,False,False,0.283,0.430,,0.840,0.280,0,8.7
96,ours,True,False,False,False,False,False,False,0.192,1.270,27.020,3.690,0.190,0,9.5
97,ego,True,False,False,False,False,False,False,0.193,0.190,11.960,1.070,0.480,0,8.3
97,ours,True,False,False,False,False,False,False,0.139,1.310,10.360,4.890,0.140,0,11.2
98,ego,True,False,False,False,False,False,False,0.367,0.830,,1.020,0.370,0,9.6
98,ours,True,False,False,False,False,False,False,0.974,1.590,,1.980,0.970,0,10.3
99,ego,True,False,False,False,False,False,False,0.358,0.570,1.170,0.360,0.380,0,9.0
99,ours,True,False,False,False,False,False,False,0.270,2.050,2.580,1.560,0.270,0,11.9
