seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
61,ours,True,False,False,False,False,False,0.482,0.86,7.33,4.25,0.48,0,8.9
61,ego,True,False,False,False,False,False,0.365,0.61,6.08,3.97,0.37,0,8.7
62,ours,True,False,False,False,False,False,0.291,1.49,,2.4,0.29,0,10.0
62,ego,True,False,False,False,False,False,0.268,0.27,,6.04,0.42,0,8.9
63,ours,True,False,False,False,False,False,0.466,1.18,0.83,4.5,0.47,0,11.6
63,ego,False,True,False,True,False,False,-0.238,4.51,-0.24,21.29,2.79,0,infs
64,ours,True,False,False,False,False,False,0.329,1.41,10.46,1.96,0.33,0,9.2
64,ego,True,False,False,False,False,False,0.509,0.51,8.28,1.56,0.67,0,7.4
65,ours,True,False,False,False,False,False,0.593,1.01,,2.26,0.59,0,9.9
65,ego,True,False,False,False,False,False,0.208,0.21,,1.67,1.11,0,9.7
66,ours,True,False,False,False,False,False,0.093,0.87,24.71,1.03,0.09,0,9.6
66,ego,False,True,True,False,False,False,-0.242,-0.24,25.14,3.47,0.09,0,infs
67,ours,True,False,False,False,False,False,0.581,1.52,19.07,3.47,0.58,1,10.5
67,ego,False,True,False,False,False,True,-0.426,1.08,18.79,15.04,-0.43,0,infs
68,ours,True,False,False,False,False,False,0.135,1.36,23.38,1.81,0.13,0,9.1
68,ego,True,False,False,False,False,False,0.037,0.26,23.43,0.64,0.04,0,8.3
69,ours,True,False,False,False,False,False,0.787,0.79,16.29,1.93,10.03,0,10.6
69,ego,True,False,False,False,False,False,0.590,0.59,16.28,3.28,6.5,0,9.8
70,ours,True,False,False,False,False,False,0.358,3.16,1.27,2.54,0.36,0,12.4
70,ego,True,False,False,False,False,False,0.192,1.36,1.37,2.45,0.19,0,9.2
71,ours,True,False,False,False,False,False,0.411,0.72,25.05,2.77,0.41,0,10.1
71,ego,True,False,False,False,False,False,0.361,0.36,25.1,3.19,0.38,0,8.8
72,ours,True,False,False,False,False,False,0.344,1.49,5.29,1.53,0.34,0,9.9
72,ego,False,True,False,True,False,False,-0.495,0.5,-0.5,3.51,0.19,0,infs
73,ours,True,False,False,False,False,False,0.357,1.37,7.22,1.26,0.36,0,10.0
73,ego,True,False,False,False,False,False,0.329,0.46,2.63,1.76,0.33,0,9.4
74,ours,True,False,False,False,False,False,0.489,1.06,20.17,0.94,0.49,0,9.4
74,ego,True,False,False,False,False,False,0.212,1.59,17.58,0.21,0.49,0,7.9
75,ours,False,True,False,False,False,True,-0.485,1.33,2.59,1.73,-0.48,0,infs
75,ego,False,True,False,False,False,True,-0.603,0.33,1.41,0.58,-0.6,0,infs
76,ours,True,False,False,False,False,False,0.315,1.14,1.58,1.46,0.32,0,10.5
76,ego,False,True,False,False,True,False,-0.023,0.96,3.59,-0.02,0.11,0,infs
77,ours,True,False,False,False,False,False,0.206,1.54,,1.71,0.21,0,8.5
77,ego,True,False,False,False,False,False,0.108,1.96,,0.61,0.11,0,8.5
78,ours,True,False,False,False,False,False,0.360,2.19,0.36,1.41,0.61,0,12.1
78,ego,True,False,False,False,False,False,0.089,2.53,0.09,0.16,0.55,0,8.1
79,ours,True,False,False,False,False,False,0.974,0.97,14.96,2.12,2.33,0,9.5
79,ego,True,False,False,False,False,False,0.437,0.76,14.96,0.44,0.56,0,9.4
80,ego,True,False,False,False,False,False,0.348,0.44,1.12,0.57,0.35,0,9.8
81,ours,True,False,False,False,False,False,0.338,1.34,,2.66,0.34,1,9.8
81,ego,False,True,False,False,False,True,-0.144,0.64,,22.9,-0.14,0,infs
82,ours,True,False,False,False,False,False,0.560,1.08,5.97,1.64,0.56,0,9.5
82,ego,True,False,False,False,False,False,0.531,0.73,5.53,1.05,0.53,0,9.5
83,ours,True,False,False,False,False,False,0.493,1.55,,0.99,0.49,0,10.5
83,ego,True,False,False,False,False,False,0.101,0.1,,0.2,0.44,0,8.5
84,ours,True,False,False,False,False,False,0.468,0.63,,2.48,0.47,0,10.3
84,ego,True,False,False,False,False,False,0.055,0.05,,1.72,1.05,0,9.7
85,ours,True,False,False,False,False,False,0.401,1.18,14.56,1.91,0.4,0,10.0
85,ego,True,False,False,False,False,False,0.567,0.81,14.51,0.7,0.57,0,9.4
86,ours,True,False,False,False,False,False,0.301,0.91,7.02,1.47,0.3,0,11.0
86,ego,False,True,False,False,False,True,-0.486,0.21,14.37,0.62,-0.49,0,infs
87,ours,True,False,False,False,False,False,0.512,0.88,,1.3,0.51,0,8.9
87,ego,True,False,False,False,False,False,0.400,0.57,,0.4,1.82,0,8.4
88,ours,True,False,False,False,False,False,1.088,1.09,,1.45,1.45,0,9.7
88,ego,True,False,False,False,False,False,0.323,0.45,,0.32,1.35,0,9.2
89,ours,True,False,False,False,False,False,0.237,1.02,,2.47,0.24,0,10.7
89,ego,True,False,False,False,False,False,0.515,0.52,,2.51,0.62,0,9.0
90,ours,True,False,False,False,False,False,0.601,1.48,,1.88,0.6,0,9.4
90,ego,False,True,False,False,False,True,-0.038,0.91,,15.49,-0.04,0,infs
91,ours,True,False,False,False,False,False,0.506,1.25,6.86,3.75,0.51,0,9.6
91,ego,True,False,False,False,False,False,0.313,0.31,11.6,1.56,0.42,0,9.3
92,ours,True,False,False,False,False,False,0.881,0.88,6.64,1.77,3.06,0,8.5
92,ego,True,False,False,False,False,False,0.214,0.21,5.93,0.72,3.14,0,7.4
93,ours,True,False,False,False,False,False,0.174,1.06,8.7,2.41,0.17,0,10.1
93,ego,False,True,False,False,False,True,-0.111,0.3,,5.57,-0.11,0,infs
