vmax,seed,ep,n_movers,ours_reach,ours_t,ours_clr,ours_coll,ego_reach,ego_t,ego_clr,ego_coll,sando_reach,sando_t,sando_clr,sando_coll
4.0,8,5,3,1,5.1,1.295,0,1,5.4,0.887,0,0,20.4,1.862,0
4.0,9,0,2,1,3.9,1.603,0,1,3.9,0.875,0,0,17.7,2.572,0
4.0,9,1,3,1,4.8,1.113,0,1,6.0,0.236,0,0,15.9,-0.234,1
4.0,9,2,5,1,4.5,1.099,0,1,6.9,-0.225,1,0,23.4,3.253,0
4.0,9,3,6,1,4.5,1.224,0,1,4.8,0.366,0,0,17.4,1.714,0
4.0,9,4,2,1,3.9,1.587,0,1,3.9,0.895,0,0,35.4,0.134,0
4.0,9,5,2,1,3.9,1.211,0,1,5.4,0.98,0,0,21.9,2.096,0
4.0,10,0,2,1,5.1,1.298,0,1,3.9,1.202,0,0,15.6,3.508,0
4.0,10,1,1,1,5.4,1.262,0,1,6.0,0.103,0,0,22.2,2.224,0
4.0,10,2,1,1,3.9,1.675,0,1,6.3,0.017,0,0,14.4,2.431,0
4.0,10,3,1,1,5.7,1.206,0,1,5.7,0.268,0,0,17.1,1.833,0
4.0,10,4,3,1,3.9,1.748,0,1,3.6,0.794,0,0,32.4,-0.08,1
4.0,10,5,5,1,5.1,1.305,0,1,5.4,0.629,0,0,16.8,1.468,0
4.0,11,0,4,1,5.1,2.48,0,1,6.0,-0.035,1,0,18.6,3.057,0
4.0,11,1,2,1,5.1,1.266,0,1,6.3,0.141,0,0,14.7,2.552,0
4.0,11,2,1,1,4.2,2.889,0,1,7.5,-0.052,1,0,18.9,2.569,0
4.0,11,3,2,1,4.5,1.678,0,1,5.7,-0.244,1,0,26.1,2.177,0
4.0,11,4,2,1,5.1,1.616,0,1,6.0,0.363,0,0,23.7,2.326,0
4.0,11,5,4,1,4.5,1.859,0,1,6.3,-0.22,1,0,19.2,1.077,0
4.0,12,0,3,1,7.5,1.01,0,1,4.8,1.501,0,0,17.1,2.576,0
4.0,12,1,7,1,4.8,1.419,0,1,8.1,0.25,0,0,20.4,2.057,0
4.0,12,2,4,1,5.4,1.311,0,1,3.9,0.94,0,0,21.6,2.927,0
4.0,12,3,5,1,5.1,1.606,0,1,4.2,1.556,0,0,19.2,1.669,0
4.0,12,4,5,1,4.5,2.347,0,1,6.6,-0.286,1,0,23.4,0.781,0
4.0,12,5,1,1,3.9,1.567,0,1,3.9,0.737,0,0,21.6,2.922,0
4.0,13,0,4,1,5.7,1.766,0,1,6.0,0.661,0,0,14.4,0.401,0
4.0,13,1,4,1,3.9,1.846,0,1,5.7,0.498,0,0,22.2,2.26,0
4.0,13,2,3,1,3.9,1.588,0,1,6.3,0.118,0,0,38.1,1.206,0
4.0,13,3,4,1,3.9,1.882,0,1,6.0,0.151,0,0,17.7,1.458,0
4.0,13,4,2,1,3.9,1.608,0,1,3.9,1.78,0,0,28.5,2.982,0
4.0,13,5,2,1,3.9,1.886,0,1,4.8,0.569,0,0,26.1,2.753,0
4.0,14,0,4,1,3.9,1.616,0,1,3.6,1.177,0,0,24.9,3.586,0
4.0,14,1,2,1,3.9,1.394,0,1,6.0,0.041,0,0,27.9,2.78,0
4.0,14,2,3,1,5.1,2.245,0,1,5.7,0.198,0,0,18.6,0.884,0
4.0,14,3,2,1,3.9,1.706,0,1,3.6,1.065,0,0,20.4,2.09,0
4.0,14,4,3,1,5.4,1.155,0,1,9.0,-0.128,1,0,25.2,2.257,0
4.0,14,5,1,1,3.9,1.567,0,1,6.3,0.112,0,0,18.9,2.15,0
4.0,15,0,3,1,5.1,1.322,0,1,5.7,0.375,0,0,14.7,0.409,0
4.0,15,1,2,1,5.1,2.138,0,1,6.0,0.072,0,0,37.2,1.115,0
4.0,15,2,2,1,5.1,1.631,0,1,5.4,0.284,0,0,17.1,1.981,0
4.0,15,3,4,1,4.8,1.677,0,1,6.3,-0.274,1,0,15.0,0.687,0
4.0,15,4,1,1,4.8,1.828,0,1,5.4,-0.243,1,0,23.1,-0.542,1
4.0,15,5,9,1,7.2,1.235,0,1,3.9,1.02,0,0,19.2,1.195,0
4.0,16,0,5,1,4.5,1.425,0,1,5.7,-0.053,1,0,20.1,3.031,0
4.0,16,1,3,1,6.0,0.634,0,1,3.9,1.111,0,0,21.9,1.735,0
4.0,16,2,5,1,4.8,2.031,0,1,8.7,-0.141,1,0,18.6,2.366,0
4.0,16,3,2,1,4.5,1.776,0,1,5.7,-0.178,1,0,28.2,1.516,0
4.0,16,4,2,1,3.9,1.794,0,1,8.7,0.093,0,0,18.0,2.283,0
4.0,16,5,1,1,5.4,2.259,0,1,6.6,0.034,0,0,16.2,2.175,0
4.0,17,0,1,1,4.8,2.009,0,1,6.0,0.055,0,0,23.7,4.05,0
4.0,17,1,3,1,5.1,1.684,0,1,6.0,0.046,0,0,23.7,2.799,0
4.0,17,2,2,1,5.1,1.195,0,1,3.9,1.319,0,0,18.6,2.597,0
4.0,17,3,2,1,3.9,1.687,0,1,6.3,-0.199,1,0,20.1,1.768,0
4.0,17,4,3,1,4.8,1.14,0,1,5.7,0.367,0,0,14.7,0.224,0
4.0,17,5,1,1,3.9,1.437,0,1,6.0,0.028,0,0,13.8,3.345,0
4.0,18,0,2,1,3.9,1.571,0,1,3.9,0.997,0,0,23.7,3.073,0
4.0,18,1,1,1,5.1,0.888,0,1,5.4,0.057,0,0,14.4,-0.506,1
4.0,18,2,3,1,5.1,0.911,0,1,6.0,-0.155,1,0,22.2,0.177,0
4.0,18,3,1,1,6.3,1.277,0,1,6.0,0.162,0,0,14.4,2.144,0
4.0,18,4,2,1,6.3,1.145,0,1,6.3,-0.012,1,0,16.5,3.039,0
4.0,18,5,2,1,4.8,1.369,0,1,6.3,-0.01,1,0,17.7,2.305,0
4.0,19,0,1,1,5.1,1.753,0,1,3.9,2.8,0,0,27.6,-0.19,1
4.0,19,1,2,1,5.4,1.437,0,1,6.3,0.341,0,0,16.2,2.335,0
4.0,19,2,2,1,4.5,1.463,0,1,4.2,1.004,0,0,18.9,2.707,0
4.0,19,3,1,1,5.1,1.417,0,1,6.0,-0.006,1,0,16.2,1.534,0
4.0,19,4,2,1,6.9,1.242,0,1,3.9,0.865,0,0,14.4,2.022,0
4.0,19,5,3,1,4.8,1.665,0,1,4.5,1.291,0,0,18.6,1.323,0
5.0,0,0,1,1,3.6,1.462,0,1,3.3,0.811,0,0,30.9,2.433,0
5.0,0,1,2,1,3.6,1.228,0,1,3.3,0.025,0,0,21.0,2.056,0
5.0,0,2,2,1,3.3,1.61,0,1,3.6,1.212,0,0,17.1,2.369,0
5.0,0,3,2,1,3.6,1.743,0,1,5.4,-0.032,1,0,26.4,1.429,0
5.0,0,4,1,1,4.8,1.542,0,1,3.3,0.986,0,0,20.7,1.702,0
5.0,0,5,2,1,4.8,1.279,0,1,3.3,1.589,0,0,26.1,1.551,0
5.0,1,0,3,1,5.1,1.156,0,1,9.9,0.301,0,0,23.4,2.403,0
5.0,1,1,2,1,3.6,1.558,0,1,3.3,1.16,0,0,17.7,1.545,0
5.0,1,2,1,1,3.6,1.65,0,1,3.3,1.08,0,0,14.1,2.072,0
5.0,1,3,1,1,3.6,1.645,0,1,3.3,0.714,0,0,21.6,2.1,0
5.0,1,4,4,1,3.9,1.571,0,1,5.7,1.047,0,0,17.1,2.42,0
5.0,1,5,2,1,3.9,1.352,0,1,5.7,0.558,0,0,18.3,1.976,0
5.0,2,0,2,1,3.9,1.152,0,0,14.7,-0.246,1,0,13.8,1.764,0
5.0,2,1,2,1,4.5,1.498,0,1,5.4,-0.044,1,0,20.7,2.692,0
5.0,2,2,2,1,3.3,1.591,0,1,3.3,1.28,0,0,13.8,2.634,0
5.0,2,3,4,1,4.5,1.063,0,1,3.3,2.841,0,0,14.4,0.364,0
5.0,2,4,1,1,4.5,1.417,0,1,3.3,1.077,0,0,16.2,2.621,0
5.0,2,5,2,1,8.1,1.198,0,1,3.6,0.967,0,0,36.6,1.793,0
5.0,3,0,2,1,5.1,1.362,0,1,3.3,0.75,0,0,18.6,2.656,0
5.0,3,1,2,1,3.3,1.586,0,1,12.0,0.33,0,0,15.6,3.609,0
5.0,3,2,1,1,3.3,1.475,0,1,3.3,1.17,0,0,23.4,3.161,0
5.0,3,3,2,1,4.8,1.498,0,1,3.3,0.89,0,0,15.9,2.181,0
5.0,3,4,2,1,4.5,1.344,0,1,3.3,0.976,0,0,23.1,3.258,0
5.0,3,5,5,1,5.7,1.192,0,1,3.3,0.919,0,0,21.9,2.137,0
5.0,4,0,3,1,3.6,1.605,0,1,3.3,1.043,0,0,13.8,1.803,0
5.0,4,1,1,1,3.3,1.71,0,1,3.3,1.415,0,0,21.9,3.004,0
5.0,4,2,2,1,3.6,1.665,0,1,3.3,1.043,0,0,13.8,2.263,0
5.0,4,3,1,1,3.6,1.729,0,1,3.3,1.036,0,0,39.9,1.777,0
5.0,4,4,3,1,4.8,1.372,0,1,3.3,0.886,0,0,21.3,2.428,0
5.0,4,5,1,1,4.8,1.199,0,1,3.3,1.012,0,0,15.9,2.247,0
5.0,5,0,2,1,5.1,1.577,0,1,3.3,1.092,0,0,29.4,1.01,0
5.0,5,1,3,1,5.1,1.391,0,1,3.3,0.882,0,0,17.1,2.384,0
5.0,5,2,1,1,3.9,1.713,0,1,5.7,-0.08,1,0,21.9,2.469,0
5.0,5,3,4,1,3.6,1.961,0,1,3.6,1.541,0,0,21.9,1.894,0
5.0,5,4,1,1,3.6,1.638,0,1,3.3,1.072,0,0,14.7,1.264,0
5.0,5,5,1,1,4.8,1.502,0,1,3.3,0.952,0,0,14.4,1.654,0
5.0,6,0,1,1,4.5,1.297,0,1,3.3,1.013,0,0,17.7,2.651,0
5.0,6,1,2,1,3.3,2.056,0,1,3.3,1.0,0,0,20.4,1.625,0
5.0,6,2,3,1,3.3,1.725,0,1,3.3,1.185,0,0,25.2,1.8,0
5.0,6,3,2,1,3.3,1.451,0,1,3.3,1.37,0,0,29.4,3.406,0
5.0,6,4,1,1,4.5,1.304,0,1,3.3,1.304,0,0,29.7,2.705,0
5.0,6,5,1,1,3.3,1.792,0,1,3.3,1.493,0,0,30.9,2.234,0
5.0,7,0,2,1,3.3,1.617,0,1,5.4,-0.152,1,0,23.1,1.011,0
5.0,7,1,3,1,4.5,1.318,0,1,5.7,0.078,0,0,16.2,1.389,0
