seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
66,ego,True,False,False,False,False,False,0.628,0.630,,1.040,0.910,0,15.3
66,ours,True,False,False,False,False,False,0.906,1.980,,2.810,0.910,0,15.4
67,ego,True,False,False,False,False,False,0.266,0.620,16.280,2.770,0.270,43,15.4
67,ours,False,True,False,False,False,True,-0.165,1.850,15.380,11.910,-0.170,176,infs
68,ego,True,False,False,False,False,False,0.104,0.940,25.320,4.050,0.100,0,12.9
68,ours,True,False,False,False,False,False,0.066,0.700,25.460,3.420,0.070,0,14.6
69,ego,True,False,False,False,False,False,0.676,0.680,17.560,2.710,10.390,0,15.8
69,ours,True,False,False,False,False,False,0.403,0.400,17.560,2.380,10.300,0,15.8
70,ego,True,False,False,False,False,False,0.019,1.600,1.360,0.460,0.020,0,13.2
70,ours,True,False,False,False,False,False,0.212,1.500,2.050,2.430,0.210,0,13.3
71,ego,True,False,False,False,False,False,0.283,0.280,25.060,3.700,0.760,0,13.9
71,ours,True,False,False,False,False,False,0.756,0.950,25.060,2.920,0.760,0,14.1
72,ego,True,False,False,False,False,False,0.090,0.990,17.700,4.060,0.090,0,13.9
72,ours,False,True,False,False,False,True,-0.026,1.520,16.930,3.880,-0.030,179,infs
73,ego,True,False,False,False,False,False,0.379,0.850,18.640,3.600,0.380,0,14.9
73,ours,True,False,False,False,False,False,0.446,1.220,17.710,2.990,0.450,0,15.1
74,ego,True,False,False,False,False,False,0.349,0.640,27.580,3.760,0.350,0,12.6
74,ours,False,True,False,False,False,True,-0.237,2.220,27.580,2.630,-0.240,0,infs
75,ego,False,True,False,False,False,True,-0.561,0.900,4.890,0.450,-0.560,0,infs
75,ours,False,True,False,False,False,True,-0.476,0.850,8.530,1.860,-0.480,0,infs
76,ego,True,False,False,False,False,False,0.463,0.820,2.150,1.290,0.460,0,11.9
76,ours,True,False,False,False,False,False,0.300,1.460,1.930,3.220,0.300,0,12.6
77,ego,True,False,False,False,False,False,0.491,2.640,,2.390,0.490,0,13.4
77,ours,True,False,False,False,False,False,0.487,2.850,,2.560,0.490,0,13.4
78,ego,True,False,False,False,False,False,0.101,0.510,0.920,2.040,0.100,0,12.2
78,ours,True,False,False,False,False,False,0.398,0.680,0.440,1.680,0.400,387,14.4
79,ego,True,False,False,False,False,False,0.529,1.460,5.750,2.470,0.530,0,15.2
79,ours,True,False,False,False,False,False,0.529,1.580,5.580,2.430,0.530,0,15.2
80,ego,True,False,False,False,False,False,0.199,2.010,4.100,0.440,0.200,0,14.8
80,ours,True,False,False,False,False,False,0.208,1.340,4.100,4.380,0.210,1,15.9
81,ego,False,True,False,False,False,True,-0.059,0.320,,22.840,-0.060,0,infs
